YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-02,WEEKDAY,12,TRAIN,EW30,2496,1049
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,EW30,1421,550
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,NE11,6843,6532
2024-02,WEEKDAY,12,TRAIN,NE11,11700,12053
2024-02,WEEKDAY,8,TRAIN,PE5,16549,2907
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,PE5,2834,812
2024-02,WEEKDAY,14,TRAIN,TE19,5156,6268
2024-02,WEEKENDS/HOLIDAY,14,TRAIN,TE19,1544,1085
2024-02,WEEKENDS/HOLIDAY,19,TRAIN,TE19,1401,1277
2024-02,WEEKDAY,19,TRAIN,TE19,21966,3684
2024-02,WEEKENDS/HOLIDAY,9,TRAIN,CC11,2383,5803
